Site,Date,Block,Treatment,Time,Video,Frames,nspectra,nchannels,scene_height,scene_width,scene_channels,timestamp_s,timestamp_us,frame_rate,exposure,gain,scene_exposure,scene_gain,camera_serial_id,edge_compute_serial_id,sdk_version,calibration,scene_dtype,spectra_dtype,description
Wytham,1124/08/,A,NPK_DIST,86:49:18,Video,31,4384,96,2048,2432,3,3145,204168,2000000,5000,0,5000,0,0,-511167884,1.4.3,b'cal-85-56-1001231129-20240501-152449-000000',b'uint8',b'float32',
Wytham,1124/35/,A,NPK_DIST,30:01:63,Single,1,4384,96,2048,2432,3,3171,206739,2000000,8000,0,8000,0,0,-511167884,1.4.3,b'cal-85-56-1001231129-20240501-152449-000000',b'uint8',b'float32',
Wytham,1124/37/,A,NPK_DIST,28:23:07,Video,23,4384,96,2048,2432,3,3173,706985,2000000,8000,0,8000,0,0,-511167884,1.4.3,b'cal-85-56-1001231129-20240501-152449-000000',b'uint8',b'float32',
Wytham,1125/09/,A,NPK_DIST,30:28:60,Single,1,4384,96,2048,2432,3,3205,210096,2000000,10000,0,10000,0,0,-511167884,1.4.3,b'cal-85-56-1001231129-20240501-152449-000000',b'uint8',b'float32',
Wytham,1125/13/,A,NPK_DIST,44:72:19,Video,60,4384,96,2048,2432,3,3210,210590,2000000,10000,0,10000,0,0,-511167884,1.4.3,b'cal-85-56-1001231129-20240501-152449-000000',b'uint8',b'float32',
Wytham,1128/17/,A,NPK_DIST,86:35:79,Single,1,4384,96,2048,2432,3,3393,728611,2000000,2000,0,2000,0,0,-511167884,1.4.3,b'cal-85-56-1001231129-20240501-152449-000000',b'uint8',b'float32',
Wytham,1128/20/,A,NPK_DIST,55:34:20,Video,24,4384,96,2048,2432,3,3397,228953,2000000,2000,0,2000,0,0,-511167884,1.4.3,b'cal-85-56-1001231129-20240501-152449-000000',b'uint8',b'float32',
Wytham,1128/45/,A,NPK_DIST,20:58:22,Single,1,4384,96,2048,2432,3,3421,231303,2000000,5000,0,5000,0,0,-511167884,1.4.3,b'cal-85-56-1001231129-20240501-152449-000000',b'uint8',b'float32',
Wytham,1128/46/,A,NPK_DIST,40:38:26,Video,38,4384,96,2048,2432,3,3423,231499,2000000,5000,0,5000,0,0,-511167884,1.4.3,b'cal-85-56-1001231129-20240501-152449-000000',b'uint8',b'float32',
Wytham,1129/30/,A,NPK_DIST,20:31:41,Single,1,4384,96,2048,2432,3,3466,235713,2000000,8000,0,8000,0,0,-511167884,1.4.3,b'cal-85-56-1001231129-20240501-152449-000000',b'uint8',b'float32',
Wytham,1129/32/,A,NPK_DIST,45:49:28,Video,29,4384,96,2048,2432,3,3469,236007,2000000,8000,0,8000,0,0,-511167884,1.4.3,b'cal-85-56-1001231129-20240501-152449-000000',b'uint8',b'float32',
Wytham,1129/57/,A,NPK_DIST,80:69:12,Single,1,4384,96,2048,2432,3,3493,738412,2000000,10000,0,10000,0,0,-511167884,1.4.3,b'cal-85-56-1001231129-20240501-152449-000000',b'uint8',b'float32',
Wytham,1129/59/,A,NPK_DIST,60:18:39,Video,23,4384,96,2048,2432,3,3496,238658,2000000,10000,0,10000,0,0,-511167884,1.4.3,b'cal-85-56-1001231129-20240501-152449-000000',b'uint8',b'float32',
Wytham,1133/13/,A,NPK_DIST,51:48:99,Single,1,4384,96,2048,2432,3,3689,757646,2000000,2000,0,2000,0,0,-511167884,1.4.3,b'cal-85-56-1001231129-20240501-152449-000000',b'uint8',b'float32',
Wytham,1133/15/,A,NPK_DIST,32:15:90,Video,43,4384,96,2048,2432,3,3691,757841,2000000,2000,0,2000,0,0,-511167884,1.4.3,b'cal-85-56-1001231129-20240501-152449-000000',b'uint8',b'float32',
Wytham,1133/47/,A,NPK_DIST,04:00:30,Single,1,4384,96,2048,2432,3,3723,260930,2000000,5000,0,5000,0,0,-511167884,1.4.3,b'cal-85-56-1001231129-20240501-152449-000000',b'uint8',b'float32',
Wytham,1133/49/,A,NPK_DIST,10:84:44,Video,43,4384,96,2048,2432,3,3725,761175,2000000,5000,0,5000,0,0,-511167884,1.4.3,b'cal-85-56-1001231129-20240501-152449-000000',b'uint8',b'float32',
Wytham,1134/20/,A,NPK_DIST,65:13:45,Single,1,4384,96,2048,2432,3,3756,764218,2000000,8000,0,8000,0,0,-511167884,1.4.3,b'cal-85-56-1001231129-20240501-152449-000000',b'uint8',b'float32',
Wytham,1134/21/,A,NPK_DIST,67:21:13,Video,42,4384,96,2048,2432,3,3758,264366,2000000,8000,0,8000,0,0,-511167884,1.4.3,b'cal-85-56-1001231129-20240501-152449-000000',b'uint8',b'float32',
Wytham,1134/51/,A,NPK_DIST,89:63:93,Single,1,4384,96,2048,2432,3,3787,767262,2000000,10000,0,10000,0,0,-511167884,1.4.3,b'cal-85-56-1001231129-20240501-152449-000000',b'uint8',b'float32',
Wytham,1134/53/,A,NPK_DIST,25:63:07,Video,33,4384,96,2048,2432,3,3789,767458,2000000,10000,0,10000,0,0,-511167884,1.4.3,b'cal-85-56-1001231129-20240501-152449-000000',b'uint8',b'float32',
Wytham,1158/38/,A,NPK_DIST,61:71:83,Single,1,4384,96,2048,2432,3,5214,590095,2000000,1000,0,1000,0,0,-511167884,1.4.3,b'cal-85-56-1001231129-20240501-152449-000000',b'uint8',b'float32',
Wytham,1227/37/,A,NPK_DIST,83:28:52,Single,1,4384,96,2048,2432,3,221,345215,2000000,2000,0,2000,0,0,-511167884,1.4.3,b'cal-85-56-1001231129-20240501-152449-000000',b'uint8',b'float32',
Wytham,2024/06/25,A,NPK_DIST,11:14:40,Single,1,4384,96,2048,2432,3,2576,65368,2000000,5000,0,5000,0,0,-511167884,1.4.3,b'cal-85-56-1001231129-20240501-152449-000000',b'uint8',b'float32',
Wytham,2024/06/25,A,NPK_DIST,11:14:44,Video,23,4384,96,2048,2432,3,2581,565914,2000000,5000,0,5000,0,0,-511167884,1.4.3,b'cal-85-56-1001231129-20240501-152449-000000',b'uint8',b'float32',
Wytham,2024/06/25,A,NPK_DIST,11:15:19,Single,1,4384,96,2048,2432,3,2615,569292,2000000,10000,0,10000,0,0,-511167884,1.4.3,b'cal-85-56-1001231129-20240501-152449-000000',b'uint8',b'float32',
Wytham,2024/06/25,A,NPK_DIST,11:15:22,Video,29,4384,96,2048,2432,3,2619,69640,2000000,10000,0,10000,0,0,-511167884,1.4.3,b'cal-85-56-1001231129-20240501-152449-000000',b'uint8',b'float32',
Wytham,2024/06/25,A,NPK_DIST,11:15:55,Single,1,4384,96,2048,2432,3,2651,72820,2000000,20000,0,20000,0,0,-511167884,1.4.3,b'cal-85-56-1001231129-20240501-152449-000000',b'uint8',b'float32',
Wytham,2024/06/25,A,NPK_DIST,11:15:56,Video,24,4384,96,2048,2432,3,2653,73018,2000000,20000,0,20000,0,0,-511167884,1.4.3,b'cal-85-56-1001231129-20240501-152449-000000',b'uint8',b'float32',
