Site,Date,Block,Treatment,Time,Weather,Video,Frames,nspectra,nchannels,scene_height,scene_width,scene_channels,timestamp_s,timestamp_us,frame_rate,exposure,gain,scene_exposure,scene_gain,camera_serial_id,edge_compute_serial_id,sdk_version,calibration,scene_dtype,spectra_dtype,description
Wytham,2024/06/25,A,DIST,13:01:49,Sunny / warm - some cloud later in session,Video,98,4384,96,2048,2432,3,2273,497843,10000000,2000,0,2000,0,0,-511167884,1.4.3,b'cal-85-56-1001231129-20240501-152449-000000',b'uint8',b'float32',
Wytham,2024/06/25,A,DIST,13:02:17,Sunny / warm - some cloud later in session,Single,1,4384,96,2048,2432,3,2301,99773,2000000,5000,0,5000,0,0,-511167884,1.4.3,b'cal-85-56-1001231129-20240501-152449-000000',b'uint8',b'float32',
Wytham,2024/06/25,A,DIST,13:02:20,Sunny / warm - some cloud later in session,Video,18,4384,96,2048,2432,3,2304,600113,2000000,5000,0,5000,0,0,-511167884,1.4.3,b'cal-85-56-1001231129-20240501-152449-000000',b'uint8',b'float32',
Wytham,2024/06/25,A,DIST,13:02:46,Sunny / warm - some cloud later in session,Single,1,4384,96,2048,2432,3,2330,102592,2000000,8000,0,8000,0,0,-511167884,1.4.3,b'cal-85-56-1001231129-20240501-152449-000000',b'uint8',b'float32',
Wytham,2024/06/25,A,DIST,13:02:47,Sunny / warm - some cloud later in session,Video,26,4384,96,2048,2432,3,2331,602738,2000000,8000,0,8000,0,0,-511167884,1.4.3,b'cal-85-56-1001231129-20240501-152449-000000',b'uint8',b'float32',
Wytham,2024/06/25,A,DIST,13:03:13,Sunny / warm - some cloud later in session,Single,1,4384,96,2048,2432,3,2357,605266,2000000,10000,0,10000,0,0,-511167884,1.4.3,b'cal-85-56-1001231129-20240501-152449-000000',b'uint8',b'float32',
Wytham,2024/06/25,A,DIST,13:03:14,Sunny / warm - some cloud later in session,Video,23,4384,96,2048,2432,3,2358,605364,2000000,10000,0,10000,0,0,-511167884,1.4.3,b'cal-85-56-1001231129-20240501-152449-000000',b'uint8',b'float32',
Wytham,2024/06/25,A,DIST,13:07:16,Sunny / warm - some cloud later in session,Single,1,4384,96,2048,2432,3,2600,128836,2000000,2000,0,2000,0,0,-511167884,1.4.3,b'cal-85-56-1001231129-20240501-152449-000000',b'uint8',b'float32',
Wytham,2024/06/25,A,DIST,13:07:20,Sunny / warm - some cloud later in session,Video,25,4384,96,2048,2432,3,2605,129322,2000000,2000,0,2000,0,0,-511167884,1.4.3,b'cal-85-56-1001231129-20240501-152449-000000',b'uint8',b'float32',
Wytham,2024/06/25,A,DIST,13:08:09,Sunny / warm - some cloud later in session,Single,1,4384,96,2048,2432,3,2653,634045,2000000,5000,0,5000,0,0,-511167884,1.4.3,b'cal-85-56-1001231129-20240501-152449-000000',b'uint8',b'float32',
Wytham,2024/06/25,A,DIST,13:08:12,Sunny / warm - some cloud later in session,Video,35,4384,96,2048,2432,3,2657,134386,2000000,5000,0,5000,0,0,-511167884,1.4.3,b'cal-85-56-1001231129-20240501-152449-000000',b'uint8',b'float32',
Wytham,2024/06/25,A,DIST,13:08:54,Sunny / warm - some cloud later in session,Single,1,4384,96,2048,2432,3,2698,638431,2000000,8000,0,8000,0,0,-511167884,1.4.3,b'cal-85-56-1001231129-20240501-152449-000000',b'uint8',b'float32',
Wytham,2024/06/25,A,DIST,13:08:56,Sunny / warm - some cloud later in session,Video,38,4384,96,2048,2432,3,2700,638626,2000000,8000,0,8000,0,0,-511167884,1.4.3,b'cal-85-56-1001231129-20240501-152449-000000',b'uint8',b'float32',
Wytham,2024/06/25,A,DIST,13:09:29,Sunny / warm - some cloud later in session,Single,1,4384,96,2048,2432,3,2733,141800,2000000,15000,0,15000,0,0,-511167884,1.4.3,b'cal-85-56-1001231129-20240501-152449-000000',b'uint8',b'float32',
Wytham,2024/06/25,A,DIST,13:09:29,Sunny / warm - some cloud later in session,Video,35,4384,96,2048,2432,3,2734,141897,2000000,15000,0,15000,0,0,-511167884,1.4.3,b'cal-85-56-1001231129-20240501-152449-000000',b'uint8',b'float32',
Wytham,2024/06/25,A,DIST,13:12:01,Sunny / warm - some cloud later in session,Single,1,4384,96,2048,2432,3,2885,656744,2000000,2000,0,2000,0,0,-511167884,1.4.3,b'cal-85-56-1001231129-20240501-152449-000000',b'uint8',b'float32',
Wytham,2024/06/25,A,DIST,13:12:03,Sunny / warm - some cloud later in session,Video,28,4384,96,2048,2432,3,2887,656940,2000000,2000,0,2000,0,0,-511167884,1.4.3,b'cal-85-56-1001231129-20240501-152449-000000',b'uint8',b'float32',
Wytham,2024/06/25,A,DIST,13:12:24,Sunny / warm - some cloud later in session,Single,1,4384,96,2048,2432,3,2909,159047,2000000,5000,0,5000,0,0,-511167884,1.4.3,b'cal-85-56-1001231129-20240501-152449-000000',b'uint8',b'float32',
Wytham,2024/06/25,A,DIST,13:12:25,Sunny / warm - some cloud later in session,Video,32,4384,96,2048,2432,3,2910,659194,2000000,5000,0,5000,0,0,-511167884,1.4.3,b'cal-85-56-1001231129-20240501-152449-000000',b'uint8',b'float32',
Wytham,2024/06/25,A,DIST,13:12:49,Sunny / warm - some cloud later in session,Single,1,4384,96,2048,2432,3,2934,161496,2000000,8000,0,8000,0,0,-511167884,1.4.3,b'cal-85-56-1001231129-20240501-152449-000000',b'uint8',b'float32',
Wytham,2024/06/25,A,DIST,13:12:50,Sunny / warm - some cloud later in session,Video,49,4384,96,2048,2432,3,2935,161594,2000000,8000,0,8000,0,0,-511167884,1.4.3,b'cal-85-56-1001231129-20240501-152449-000000',b'uint8',b'float32',
Wytham,2024/06/25,A,DIST,13:13:21,Sunny / warm - some cloud later in session,Single,1,4384,96,2048,2432,3,2965,664583,2000000,10000,0,10000,0,0,-511167884,1.4.3,b'cal-85-56-1001231129-20240501-152449-000000',b'uint8',b'float32',
Wytham,2024/06/25,A,DIST,13:13:22,Sunny / warm - some cloud later in session,Video,35,4384,96,2048,2432,3,2967,164730,2000000,10000,0,10000,0,0,-511167884,1.4.3,b'cal-85-56-1001231129-20240501-152449-000000',b'uint8',b'float32',
Wytham,2024/06/25,A,DIST,13:15:31,Sunny / warm - some cloud later in session,Single,1,4384,96,2048,2432,3,3095,677338,2000000,2000,0,2000,0,0,-511167884,1.4.3,b'cal-85-56-1001231129-20240501-152449-000000',b'uint8',b'float32',
Wytham,2024/06/25,A,DIST,13:15:34,Sunny / warm - some cloud later in session,Video,29,4384,96,2048,2432,3,3099,177681,2000000,2000,0,2000,0,0,-511167884,1.4.3,b'cal-85-56-1001231129-20240501-152449-000000',b'uint8',b'float32',
Wytham,2024/06/25,A,DIST,13:15:56,Sunny / warm - some cloud later in session,Single,1,4384,96,2048,2432,3,3120,679791,2000000,5000,0,5000,0,0,-511167884,1.4.3,b'cal-85-56-1001231129-20240501-152449-000000',b'uint8',b'float32',
Wytham,2024/06/25,A,DIST,13:15:58,Sunny / warm - some cloud later in session,Video,34,4384,96,2048,2432,3,3122,679987,2000000,5000,0,5000,0,0,-511167884,1.4.3,b'cal-85-56-1001231129-20240501-152449-000000',b'uint8',b'float32',
